,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates of country-level lifetime risk (LTR) of maternal death 2000-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: WHO, UNICEF, UNFPA, World Bank Group and UNPD (MMEIG) - April 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO Code,Country,UNICEF Programme Region,UNICEF Reporting Region,UNICEF Sub-Reporting Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
MDG,Madagascar,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,28,30,31,33,34,36,37,38,39,39,41,43,44,45,47,48,49,49,50,50,53,51,55,55
MWI,Malawi,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,36,41,45,52,58,62,61,53,42,36,36,39,44,49,56,61,71,80,86,91,93,86,105,113
MYS,Malaysia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,951,1048,1167,1234,1334,1449,1547,1614,1614,1640,1702,1682,1705,1712,1678,1703,1770,1835,1919,2025,2141,1281,1783,2546
MDV,Maldives,South Asia,South Asia,South Asia,387,479,534,602,677,822,841,824,749,742,796,820,851,877,1013,1105,1162,1229,1347,1412,1200,973,1735,1938
MLI,Mali,West and Central Africa,Sub-Saharan Africa,West and Central Africa,21,22,23,25,25,26,26,26,26,27,27,27,28,29,31,32,34,35,38,41,43,42,47,49
MLT,Malta,Industrialized,Europe and Central Asia,Western Europe,5784,6644,6228,6059,7522,7555,6895,8157,8070,7505,9470,7328,8300,10715,9716,11169,8138,11274,9451,10457,8813,9062,9266,11062
MHL,Marshall Islands,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,82,90,95,97,91,94,96,100,104,110,122,129,138,150,156,173,178,185,202,204,197,171,210,241
MRT,Mauritania,West and Central Africa,Sub-Saharan Africa,West and Central Africa,30,31,33,34,34,36,36,36,37,38,38,39,39,39,41,42,44,45,47,49,51,50,56,58
MUS,Mauritius,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,1220,1320,1319,1364,1353,1382,1435,1449,1463,1440,1438,1389,1401,1373,1370,1397,1342,1227,1238,1238,1388,1032,1447,1362
MEX,Mexico,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,615,640,657,686,715,752,786,820,817,831,858,915,958,991,1052,1109,1144,1157,1168,1197,864,519,1204,1324
FSM,Micronesia (Federated States of),East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,121,130,124,143,147,152,155,161,166,172,178,185,188,190,196,193,204,208,217,232,239,232,251,283
MCO,Monaco,Industrialized,Europe and Central Asia,Western Europe,5777,5457,6027,12768,12297,12424,12054,5764,5332,5409,5423,5893,11377,11198,10132,9924,9382,10025,9517,9567,2276,10822,11258,10688
MNG,Mongolia,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,286,331,380,423,460,502,519,527,510,507,551,568,576,576,597,645,710,774,786,768,763,596,958,1018
MNE,Montenegro,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,5168,5561,6081,6201,6941,7772,7932,7679,7614,7487,8693,9268,9287,9073,9378,9220,10459,8663,9629,10097,4371,4395,4997,11578
MAR,Morocco,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,136,151,165,177,186,201,217,233,250,266,281,307,337,372,405,434,463,500,537,569,565,509,673,700
MOZ,Mozambique,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,36,42,51,57,65,70,71,65,57,59,67,77,96,108,104,103,111,122,144,173,176,123,214,244
MMR,Myanmar,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,99,104,110,118,126,135,142,149,160,167,176,186,193,200,209,214,220,229,242,253,252,219,266,281
NAM,Namibia,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,72,77,96,107,111,91,76,63,56,55,56,59,65,72,78,94,115,136,148,169,208,120,244,225
NRU,Nauru,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,110,104,98,98,97,96,101,97,92,86,82,90,93,96,100,96,100,100,101,106,94,112,97,117
NPL,Nepal,South Asia,South Asia,South Asia,50,57,63,70,78,86,98,104,111,116,121,129,137,147,157,167,187,208,230,255,292,266,333,332
NLD,Netherlands (Kingdom of the),Industrialized,Europe and Central Asia,Western Europe,4749,5110,5093,5424,6097,6744,7740,8675,9016,9722,10868,10859,12022,13249,13321,14522,14037,14953,15767,15622,19726,14355,17047,18117
NZL,New Zealand,Industrialized,East Asia and Pacific,East Asia and Pacific,5295,5598,5759,5547,5541,5648,5787,5271,5566,5610,5612,5733,6260,7301,8440,7517,8205,8461,8819,8654,8897,8691,2911,9363
NIC,Nicaragua,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,133,152,180,203,227,257,287,310,330,342,358,381,408,427,452,472,506,547,605,594,486,350,719,741
NER,Niger,West and Central Africa,Sub-Saharan Africa,West and Central Africa,16,16,16,17,17,18,18,19,20,21,22,23,25,26,28,30,32,34,36,38,41,41,45,47
NGA,Nigeria,West and Central Africa,Sub-Saharan Africa,West and Central Africa,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,20,21,22,23,24,25
NOR,Norway,Industrialized,Europe and Central Asia,Western Europe,10941,11362,12407,11521,10945,11152,11545,12368,12912,13444,14825,16836,20731,22881,27605,29916,32695,37932,43215,46234,34834,43066,29027,60475
PSE,State of Palestine,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,300,299,319,339,354,387,408,437,443,459,519,575,642,734,797,913,1043,1184,1307,1465,1367,962,1692,1864
OMN,Oman,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,1418,1512,1584,1642,1757,1857,1968,1975,2008,1917,1847,2037,2020,1983,2009,2035,2058,2096,2247,2377,1066,484,3005,3068
PAK,Pakistan,South Asia,South Asia,South Asia,46,50,54,59,66,71,78,84,88,91,94,98,102,108,114,121,130,137,143,149,148,138,169,177
PLW,Palau,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,490,489,492,540,559,573,584,632,630,667,652,747,723,703,782,804,771,771,778,755,546,597,550,753
PAN,Panama,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,548,579,609,629,643,664,680,697,706,712,714,724,749,783,838,866,907,924,1019,1143,660,840,1247,1369
PNG,Papua New Guinea,East Asia and the Pacific,East Asia and Pacific,East Asia and Pacific,70,70,70,72,73,75,76,77,81,86,91,99,106,114,122,130,137,145,149,156,162,145,174,178
PRY,Paraguay,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,136,142,149,156,163,172,183,197,212,234,267,305,368,442,522,577,621,643,659,672,573,288,523,708
PER,Peru,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,298,326,345,355,346,363,383,408,435,452,484,503,547,586,617,646,687,724,748,829,676,366,652,1038
